"Gender" "Category" "Swim" "Bike" "Run" "Overall"
"171" "M" "PRO" 1.024722216 5.456666664 3.086111112 9.64944444
"172" "M" "35-39" 1.037777784 5.17361112 3.321944448 9.650555544
"173" "M" "30-34" 1.055277768 4.884722232 3.620277768 9.651666672
"174" "M" "45-49" 1.165833336 4.96361112 3.436944456 9.653055552
"175" "M" "35-39" 1.327777776 5.130833328 3.103055544 9.654166656
"176" "M" "30-34" 1.032777768 4.980277776 3.533333328 9.657777768
"177" "M" "35-39" 1.03194444 5.175277776 3.348611112 9.658333344
"178" "M" "25-29" 0.977222232 5.152777776 3.43638888 9.659444448
"179" "M" "30-34" 0.942777768 5.35194444 3.273333336 9.660555552
"180" "M" "35-39" 1.124722224 5.045833344 3.393333336 9.664722216
"181" "M" "35-39" 1.127222232 5.179999992 3.249166656 9.666388896
"182" "F" "PRO" 0.961666656 5.4075 3.20861112 9.671111112
"183" "M" "30-34" 1.056944448 5.095000008 3.447499992 9.67361112
"184" "M" "40-44" 0.942499992 5.144722224 3.503333328 9.673888896
"185" "M" "45-49" 1.119166656 5.058888888 3.343055544 9.674722224
"186" "M" "30-34" 1.010833344 5.265277776 3.281666664 9.675833328
"187" "M" "35-39" 0.910833336 5.21555556 3.429166656 9.683333328
"188" "M" "35-39" 1.08 5.067777768 3.429166656 9.68555556
"189" "M" "40-44" 1.018055544 5.017777776 3.563333328 9.687222216
"190" "M" "30-34" 1.071944448 5.188333344 3.313333344 9.689722224
"191" "M" "25-29" 1.096944456 5.147500008 3.348888888 9.690277776
"192" "M" "18-24" 1.050555552 5.156666664 3.394722216 9.69138888
"193" "M" "25-29" 1.095833328 5.233055544 3.267777768 9.693333336
"194" "M" "40-44" 1.277500008 5.03694444 3.301666656 9.699722232
"195" "M" "25-29" 1.217222232 5.265555552 3.124722216 9.704444448
"196" "F" "PRO" 0.962222232 5.282500008 3.379722216 9.706111104
"197" "M" "35-39" 0.999166656 5.105833344 3.43638888 9.708611112
"198" "M" "35-39" 1.16555556 4.888333344 3.531666672 9.70944444
"199" "M" "45-49" 1.079444448 5.312222232 3.212222232 9.710277768
"200" "M" "35-39" 1.029444456 4.965555552 3.635277768 9.715833336
"201" "M" "40-44" 1.159166664 5.265277776 3.190833336 9.718888896
"202" "M" "40-44" 1.184444448 5.344166664 3.077777784 9.721111104
"203" "M" "30-34" 1.118055552 5.156666664 3.359444448 9.725277768
"204" "M" "35-39" 1.003333344 5.251944456 3.360277776 9.728055552
"205" "F" "PRO" 0.962222232 5.44805556 3.234722232 9.728611104
"206" "M" "25-29" 0.989444448 5.231666664 3.421111104 9.729722232
"207" "M" "35-39" 0.926111112 5.314166664 3.381944448 9.732222216
"208" "M" "40-44" 0.993333336 5.2425 3.400000008 9.733055544
"209" "M" "35-39" 1.188611112 5.173055544 3.195833328 9.733333344
"210" "F" "PRO" 1.001111112 5.282777784 3.374444448 9.734444448
"211" "M" "35-39" 0.970000008 5.276111112 3.38388888 9.735277776
"212" "M" "25-29" 0.94055556 5.329999992 3.366944448 9.737222232
"213" "M" "30-34" 1.136111112 5.281111104 3.27611112 9.741388896
"214" "M" "40-44" 1.019444448 5.323888896 3.305277768 9.750833328
"215" "M" "PRO" 1.000833336 4.985833344 3.686388888 9.751944456
"216" "M" "35-39" 1.073055552 5.234444448 3.337777776 9.754166664
"217" "M" "35-39" 1.016111112 5.050833336 3.59388888 9.76194444
