age spr agi dri bc sho hei wei apl
12 3.7 9.9 17.1 14.95 22 158 47 3
12 3.74 8.41 13.26 12.97 15 149 36 3
11 3.96 9.14 12.89 13.9 16 150 40 3
12 3.74 8.78 12.6 11.1 15 142 38 3
11 3.94 9.36 12.4 13.4 12 141 39 3
11 3.94 8.91 11.14 12.17 12 150 43 3
11 3.89 8.57 10.9 11.8 17 149 35 3
11 3.99 9.16 12.96 9.24 16 153 42 3
11 3.92 8.68 12.16 12.4 12 153 34 3
12 3.49 7.96 10.7 10.88 999 145 31 3
12 3.59 8.47 11.49 9.93 7 148 38 3
12 3.7 8.57 11.57 9.69 8 156 44 3
11 3.6 8.28 12.38 10.3 8 160 43 3
12 3.68 7.97 12.44 12.5 21 150 40 3
11 3.86 8.43 11.08 9.41 16 162 48 3
11 3.69 8.4 11.83 11.12 19 150 45 3
11 3.68 8.35 11.59 11.25 16 150 40 3
12 3.87 8.76 12.07 11.06 19 150 40 3
12 3.92 8.81 11.66 10.89 13 158 49 3
11 3.72 8.19 10.69 8.69 16 145 41 3
11 3.59 8.29 10.42 9.5 10 144 38 3
12 3.59 8.3 12.16 999 21 154 40 3
11 3.86 8.65 12.03 999 20 152 43 3
12 3.85 8.69 11.71 999 14 150 45 3
12 3.76 8.52 11.61 999 22 137 30 3
12 3.64 8.69 11.19 999 17 151 39 2
11 3.71 8.31 11.75 999 19 137 30 3
11 3.66 8.7 13.1 11.21 19 148 37 3
11 3.79 8.78 12.62 13.01 22 159 49 3
11 3.72 8.3 11.74 11.14 16 144 35 3
12 3.54 8.78 12.58 10.34 999 142 30 3
11 3.81 9.38 13.2 12.31 999 142 34 3
11 3.79 8.38 12.78 10.32 23 145 33 3
12 999 999 999 999 24 147 32 3
12 3.97 9 12.18 9.4 22 150 47 3
12 3.88 8.87 12.39 12.59 22 140 30 3
11 3.54 7.87 12.98 10.13 16 150 40 3
11 999 999 999 999 24 144 35 3
11 3.76 9.57 12.09 11.53 19 153 35 3
11 3.5 9.22 12.69 10.09 18 157 38 3
11 3.76 8.67 12.71 10.08 999 152 37 3
11 3.84 8.62 10.14 9.69 14 155 48 2
12 3.62 8.52 12.26 19.92 17 148 37 3
12 3.52 8.39 10.81 10.84 11 158 49 3
11 3.56 7.8 10.46 15.17 14 136 32 3
12 3.5 8.02 11.9 11.31 999 136 28 3
12 3.44 8.03 10.62 13.6 12 150 39 2
11 3.73 999 999 11.83 20 151 37 3
11 3.82 8.9 11.54 11.23 17 150 47 3
11 3.72 8.93 12.14 16.12 18 157 39 3
11 3.57 8.33 10.41 10.45 4 148 35 3
11 3.56 8.4 10.58 12.08 8 140 36 3
11 3.47 8.16 10.77 9.5 15 150 40 3
11 3.53 7.69 10.52 9.9 22 142 36 3
11 3.76 8.7 11.4 11.63 17 137 32 3
12 3.79 8.06 11.8 9.4 17 135 34 3
11 3.76 8.52 11.41 9.9 20 157 38 3
11 3.56 7.62 11.65 10.75 19 140 30 3
11 3.81 8.56 12.42 12.64 25 145 35 3
11 4.06 8.54 10.87 10.32 22 144 43.5 3
11 3.64 8.8 11.71 11.56 16 143 34 3
11 3.72 8.28 12.57 11.63 15 134 32 3
11 3.84 8.48 12.57 11.63 21 156 45 3
11 4.14 10 13.16 11.29 10 162 60 3
11 4.17 8.84 13.07 13.32 23 140 48 3
11 3.96 9.01 12.19 11.27 21 140 40 3
11 3.63 8.11 12.08 9.41 14 148 37 3
11 999 999 999 999 15 153 38 3
11 4.03 8.42 12.03 10.58 20 150 37.5 3
12 3.9 8.81 11.08 9.59 8 152 44.5 3
12 3.71 8.36 10.87 11.22 21 147 34.5 3
12 3.83 8.71 11.38 10.62 18 142 35 3
12 3.72 8.42 11.81 10.53 16 138 30.9 3
11 3.6 8.47 11.73 11.66 9 148 37 3
11 3.87 8.42 11.69 9.88 17 140 33 3
12 3.56 7.88 11.04 9.6 6 147 42 3
11 3.92 8.87 11.58 11.37 18 147 35 3
11 3.84 9.03 13.64 12.4 19 145 38 3
12 3.98 9.02 12.2 11.42 18 156 54 3
12 3.56 8.25 11.97 10.12 13 153 37 3
11 3.79 8.76 13.06 10.46 21 148 40 3
11 3.92 9.2 11.99 13.5 16 146 36 3
12 3.66 9.03 14.8 11.57 18 152 44 3
11 999 999 999 999 20 153 38 3
12 3.56 8.3 11.96 11 13 140 31 3
11 3.74 8.48 10.57 10.41 9 146 40 3
12 3.66 9.62 12.45 10.16 11 148 39 3
11 3.62 9.09 12.28 12.44 14 151 37 2
11 3.55 9.06 12.85 12.22 22 158 43 3
11 3.87 8.79 10.97 14.02 20 145 43.4 2
12 3.88 8.79 13.5 11.25 21 142 34 3
11 3.86 8.5 12.46 11.43 18 142 29 3
11 3.96 8.51 11.87 9.9 18 153 39 3
11 3.78 8.58 13.07 11.61 18 151 45 3
12 3.83 9.28 13.72 12.91 20 163 51 3
11 3.48 8.03 10.25 10.65 17 145 37 3
11 3.58 8 11.51 11 17 150 38 3
12 3.61 8.21 10.28 11.78 11 150 40 3
11 3.68 8.19 11.11 10.98 15 148 38 3
12 3.8 8.78 11.79 12.68 20 148 46 3
12 3.96 8.54 12.38 11.34 18 145 38 3
11 3.86 9.57 13.01 13.98 15 152 46 3
12 3.98 9.92 14.18 14.39 19 148 37 3
11 3.59 8.01 11.07 10.18 16 153 44 3
11 3.77 8.21 11.81 11.61 14 141 42 3
12 3.87 8.47 11.5 9.72 20 147 39 3
11 3.82 8.71 12.78 999 21 146 39 3
11 3.71 9.1 12.63 14.02 21 145 40 3
12 3.76 8.84 12.68 15.81 14 138 29 3
11 3.98 9.07 13.42 12.32 19 153 37 3
11 4.06 9.84 13.23 13.74 21 150 60 3
12 3.84 9.12 12.6 11.03 20 151 43 3
12 3.72 8.41 12.28 10.34 22 153 40 3
11 3.83 8.71 12.26 9.5 15 140 30 3
12 3.94 9.68 12.75 9.06 19 165 45 3
11 3.88 8.73 11.82 10.15 15 150 40 3
12 3.75 8.9 13 10.98 18 155 47 3
11 3.87 999 14.02 13.98 15 151 43 3
12 3.7 9.21 12.9 11.22 16 149 48 3
12 3.76 8.92 12.54 11.98 18 140 30 3
12 3.88 8.78 12.48 14.85 17 149 39 3
11 3.75 8.43 12.85 12.86 15 148 41 3
12 3.68 8.34 11.62 12.5 19 152 31 3
12 3.7 8.18 11.24 9.85 13 163 54 3
11 3.47 7.7 11.62 12.15 24 166 60 3
11 3.83 8.71 11.05 10.26 18 163 55 3
11 4.09 9.06 12.07 11.2 999 157 47 3
12 3.99 8.88 13.33 18.44 18 142 34 3
11 3.77 9.18 12.79 18.56 17 159 43 3
11 3.6 8.88 13.96 14.83 17 157 35 3
11 999 999 999 999 9 148 37 3
11 3.57 8.5 11.32 13.66 15 149 36 3
11 3.72 9.07 11.81 12.07 16 155 40 2
12 4.02 9.62 13.5 17.79 17 160 47 3
11 999 999 999 999 18 150 36.7 3
11 999 999 999 999 17 140 37 3
11 3.89 8.97 12.09 10.82 20 156 44.5 3
11 999 999 999 999 14 151 45.5 3
12 999 999 999 999 18 138 34 3
12 3.64 8.8 11.17 9.68 16 151 37 3
12 3.44 8.76 12.14 11.9 16 156 43 3
12 3.59 8.21 12.1 13.99 23 140 32 3
12 3.69 7.92 11.09 14.76 15 140 33 3
11 3.64 8.22 11.9 14.29 19 152 38 2
12 3.62 7.66 10.38 11.05 8 148 40 3
11 3.88 8.27 12.71 12.52 17 140 32 3
11 3.64 8.15 11.11 10.49 11 148 38 3
11 3.78 8.23 11.68 12.28 15 142 35 3
11 3.83 8.68 11.22 10.81 999 146 40 3
11 3.57 8.68 12.07 12.88 17 150 40 3
11 3.7 8.59 11.74 10.31 13 153 40 3
11 3.58 8.8 12.36 13.34 12 153 40 3
11 3.68 8.28 12 9.47 22 153 37 3
11 3.88 8.89 12.87 14.93 24 148 39 3
11 3.66 8.38 11.41 11.28 999 146 36 3
12 3.63 8.33 11.91 11.15 999 153 42 3
11 3.66 8.72 13.01 12.06 24 136 31 3
12 3.8 8.52 12.72 11.66 999 149 44 3
12 3.72 8.94 12.18 10.97 21 150 33 3
12 3.6 8.2 13.43 11.26 22 145 32 3
12 3.54 8.25 10.47 9.77 16 153 40 3
11 3.49 7.87 10.86 11.04 15 157 46 3
12 3.68 8.73 10.8 10.31 16 152 41 3
11 3.5 7.97 12.5 11.37 999 158 45 3
11 3.61 8.58 12.01 10.16 13 150 35 3
11 3.4 7.94 11.91 14.12 999 151 37 3
11 999 999 999 999 17 133 26 3
11 3.92 9.11 11.08 9.5 18 156 44 3
12 3.56 8.04 10.62 9.81 17 152 46 3
11 3.36 7.87 10.92 9.73 19 156 43 3
11 3.86 8.88 13.13 13.23 19 146 41 3
12 3.63 8.69 13.3 11.58 18 138 32 3
12 3.64 8.71 10.99 8.59 999 156 46 3
11 3.6 8.8 13.58 9.02 16 151 37 3
12 3.59 8.3 13.64 15.58 19 162 47 3
12 3.38 7.82 10.91 11.29 19 140 30 3
11 3.46 8.53 11.44 11.05 14 150 36 3
11 3.69 8.62 10.97 8.46 8 144 31 3
11 3.43 8.43 10.98 9.95 12 144 37 3
12 3.72 8.7 15.38 13.1 20 157 53 3
11 3.74 8.2 12.07 9.98 18 145 39 3
11 3.81 8.12 11.48 14.85 999 152 40 3
12 3.51 7.84 10.68 10.46 16 146 35 3
11 3.87 8.12 10.61 18.37 18 148 39 3
12 3.39 7.9 10.95 10.22 9 152 46 1
11 3.98 8.91 12.12 10.71 13 165 53 3
11 3.33 8.18 11.84 9.34 14 151 41 3
12 3.59 7.86 10.63 8.69 11 161 44 3
12 3.56 8.36 12.73 12.67 19 155 46 3
12 3.54 8.14 10.38 7.94 15 154 46 1
11 3.63 8.32 11.48 11.9 24 158 40 3
11 3.4 8.32 11.48 12.21 15 151 43 3
12 3.7 8.58 12.1 15.55 15 153 37 3
11 3.31 8.63 11.73 10.91 19 158 48 3
11 3.77 8 11.06 12.59 20 144 38 3
12 3.65 8.23 12.79 16.21 17 155 39 3
11 3.18 7.5 10.78 11.27 17 148 42 2
11 3.66 8.28 10.99 11.07 15 148 40 3
11 3.58 7.97 10.4 9.65 20 148 41 1
12 3.87 8.76 13.17 11.66 14 156 40.2 3
12 3.9 8.31 12.17 13.78 21 150 35 3
12 3.68 9.77 12.58 13.29 999 149 38.3 3
12 3.39 9.05 11.83 11.05 18 158 45 3
11 3.66 9.39 11.51 10.53 13 164 67.2 3
12 3.38 9.13 11.18 10.48 10 145 36.8 3
11 3.96 8.98 999 11.83 16 152 36 3
11 3.56 8.81 12.28 11.62 9 158 51.2 3
11 3.83 7.9 10.96 11.61 999 148 37 3
11 999 999 999 999 21 142 35 3
11 3.74 8.97 12.06 12.06 18 149 36 3
12 3.81 999 13.89 12.38 19 167 58 3
11 4.22 9.36 13.94 9.99 16 157 49 3
11 999 999 999 999 13 146 39 3
12 3.93 9.65 12.56 999 999 144 38.1 3
12 3.6 8.53 11.37 14.19 999 145 37.2 3
11 3.91 9.57 13 999 999 147 35.3 3
11 4.1 8.71 13.22 12.07 999 144 30.4 3
11 3.87 9.6 14.52 999 23 143 35 3
12 3.71 9.04 11.8 999 23 155 44 3
11 3.73 8.91 12.56 10.31 999 157 41 3
12 3.57 8.03 12.45 10.9 999 145 33 3
11 3.9 8.87 12.53 11.02 999 145 32 3
11 3.66 9.46 12.23 8.78 999 152 49 1
11 3.52 7.82 10.82 9.07 11 147 40 2
11 3.68 8.42 12.1 9.66 14 141 36 3
11 3.7 7.82 12.03 16.4 21 146 33 3
12 3.87 8.28 12.17 13.46 22 156 49 3
12 4.22 9.31 15.17 16.59 999 154 53.5 3
12 3.63 8.52 10.47 10.83 19 144 39 3
12 3.71 9.06 11.78 10.1 14 140 36 3
11 3.58 8.84 13.9 13.2 13 150 36 3
11 3.84 8.39 12.38 10.09 15 150 42 3
12 3.56 8.02 10.77 9.5 8 140 32 2
12 3.66 8.75 13.4 10.15 17 151 38.2 3
12 3.43 7.83 12.1 11.41 7 149 36.4 3
12 3.56 8.9 11.2 11.54 11 158 61.1 3
11 999 999 999 999 24 157 51 3
12 3.3 8.62 10.4 10.33 21 147 36 3
12 3.88 8.59 12.72 11.53 20 153 36 3
11 4.01 8.93 11.94 11.05 20 138 31 3
12 3.63 8.87 12.3 10.51 20 146 35 3
11 3.88 8.5 14.5 13.57 21 150 36 3
12 3.97 9.35 13.57 13.25 999 154 42.1 3
11 3.4 8.78 12.46 11.31 21 152 39 3
12 3.6 8.27 12.51 11.67 20 150 41 3
12 3.63 8.69 11.38 10 10 155 39 3
12 3.94 8.68 11.66 11.84 19 143 32 3
11 3.81 7.76 13.21 9.11 18 149 40 2
12 999 999 999 999 20 152 38 3
11 999 999 999 999 22 153 37 3
11 3.7 8.61 11.3 10.57 13 153 41 3
11 3.52 9.1 12.45 9.96 17 165 55 2
12 3.89 8.91 12.75 11.14 24 145 33.5 3
12 4.16 8.63 12.66 11.4 999 146 29 3
11 3.72 8.28 10.38 9.09 999 158 41 2
12 3.31 7.71 11.04 12 21 140 30 3
11 3.62 8.24 11.31 14 999 140 29 2
11 3.87 8.51 13.32 14.6 999 148 39 3
12 3.66 7.93 10.94 999 999 142 31 3
11 3.69 8.38 12.26 999 999 152 37 3
12 3.86 9.06 12.28 12.09 18 168 46 3
11 3.68 7.93 10.44 9.26 999 157 44 2
11 3.91 9.07 12.01 8.62 999 148 38 3
11 3.88 8.49 12.69 10.01 11 146 34 3
12 3.86 8.76 12.28 12.32 22 142 36 3
11 3.51 7.72 11.33 11.62 15 141 30 3
12 3.51 7.63 11.03 12.76 18 145 35 3
12 3.78 8.68 12.5 11.59 20 146 39.4 3
11 3.62 8.9 14.87 13.23 16 141 33 3
12 3.89 9.35 15.12 12 18 145 35 3
12 3.54 9.16 12.54 10.95 21 137 36 3
11 3.87 8.62 12.53 14.57 21 148 44 3
11 3.67 8.81 12.57 13.2 15 160 41 3
12 3.7 8.57 11.89 12.5 999 151 36 3
12 3.89 8.43 11.68 8.4 14 138 35 3
12 3.42 8.03 11.62 11.82 22 144 37.6 3
12 3.79 8.85 11.94 999 14 147 40 3
12 3.71 8.41 11.03 999 13 146 34 3
11 3.99 9.38 13.22 999 24 158 40 3
11 3.81 8.46 12.58 999 19 144 32 3
12 3.64 8.02 12.36 999 22 138 30 3
12 3.6 9.61 14.01 14.59 21 146 35 3
11 3.79 8.06 10.41 9.06 22 146 37 2
